"title","title-2","length"
"Carrie Bunch","Alabama Devil",114
"Casablanca Super","Canyon Stock",85
"Casablanca Super","Blackout Private",85
"Casablanca Super","Beverly Outlaw",85
"Casablanca Super","Amistad Midsummer",85
"Casper Dragonfly","Bird Independence",163
"Cassidy Wyoming","Camelot Vacation",61
"Cassidy Wyoming","Bulworth Commandments",61
"Cassidy Wyoming","Birds Perdition",61
"Cause Date","Born Spinal",179
"Cause Date","Casualties Encino",179
"Cause Date","Anonymous Human",179
"Chainsaw Uptown","Carrie Bunch",114
"Chainsaw Uptown","Blade Polish",114
"Chainsaw Uptown","Alabama Devil",114
"Chance Resurrection","Candidate Perdition",70
"Chariots Conspiracy","Blood Argonauts",71
"Chasing Fight","Chainsaw Uptown",114
"Chasing Fight","Carrie Bunch",114
"Chasing Fight","Blade Polish",114
"Chasing Fight","Alabama Devil",114
"Cheaper Clyde","Bang Kwai",87
"Chicken Hellfighters","Betrayed Rear",122
"Chicken Hellfighters","Beach Heartbreakers",122
"Chill Luck","Bikini Borrowers",142
"Chinatown Gladiator","Cassidy Wyoming",61
"Chinatown Gladiator","Camelot Vacation",61
"Chinatown Gladiator","Bulworth Commandments",61
"Chinatown Gladiator","Birds Perdition",61
"Christmas Moonshine","Bingo Talented",150
"Christmas Moonshine","Ali Forever",150
"Cider Desire","Chocolat Harry",101
"Circus Youth","Basic Easy",90
"Cleopatra Devil","Christmas Moonshine",150
"Cleopatra Devil","Bingo Talented",150
"Cleopatra Devil","Ali Forever",150
"Clockwork Paradise","Cincinatti Whisperer",143
"Clones Pinocchio","Chisum Behavior",124
"Club Graffiti","Barbarella Streetcar",65
"Clue Grail","Chance Resurrection",70
"Clue Grail","Candidate Perdition",70
"Core Suit","Caribbean Liberty",92
"Core Suit","Apache Divine",92
"Core Suit","Anaconda Confessions",92
"Coldblooded Darling","Clue Grail",70
"Coldblooded Darling","Chance Resurrection",70
"Coldblooded Darling","Candidate Perdition",70
"Comancheros Enemy","Butch Panther",67
"Comforts Rush","Boondock Ballroom",76
"Command Darling","Calendar Gunfight",120
"Coneheads Smoochy","Cat Coneheads",112
"Confessions Maguire","Club Graffiti",65
"Confessions Maguire","Barbarella Streetcar",65
"Confidential Interview","Alley Evolution",180
"Confused Candles","Chicken Hellfighters",122
"Confused Candles","Betrayed Rear",122
"Confused Candles","Beach Heartbreakers",122
"Congeniality Quest","Cheaper Clyde",87
"Congeniality Quest","Bang Kwai",87
"Conquerer Nuts","Ballroom Mockingbird",173
"Control Anthem","Chicago North",185
"Conversation Downhill","Coneheads Smoochy",112
"Conversation Downhill","Cat Coneheads",112
"Cowboy Doom","Chaplin License",146
"Cranes Reservoir","Alter Victory",57
"Crazy Home","Bringing Hysterical",136
"Crazy Home","Alaska Phantom",136
"Creatures Shakespeare","Clyde Theory",139
"Creepers Kane","Connecticut Tramp",172
"Crooked Frogmen","Clockwork Paradise",143
"Crooked Frogmen","Cincinatti Whisperer",143
"Crossing Divorce","Blues Instinct",50
"Crossing Divorce","Adaptation Holes",50
"Crossroads Casualties","Baby Hall",153
"Crossroads Casualties","Apollo Teen",153
"Crowds Telemark","Conversation Downhill",112
"Crowds Telemark","Coneheads Smoochy",112
"Crowds Telemark","Cat Coneheads",112
"Crusade Honey","Crowds Telemark",112
"Crusade Honey","Conversation Downhill",112
"Crusade Honey","Coneheads Smoochy",112
"Crusade Honey","Cat Coneheads",112
"Crystal Breaking","Conspiracy Spirit",184
"Cupboard Sinners","Bride Intrigue",56
"Curtain Videotape","Bucket Brotherhood",133
"Cyclone Family","Caper Motions",176
"Cyclone Family","Braveheart Human",176
"Daddy Pittsburgh","Brooklyn Desert",161
"Dalmations Sweden","Bed Highball",106
"Dances None","Closer Bang",58
"Dangerous Uptown","Brannigan Sunrise",121
"Dangerous Uptown","Boogie Amelie",121
"Dangerous Uptown","Arizona Bang",121
"Dares Pluto","Butterfly Chocolat",89
"Dares Pluto","Beast Hunchback",89
"Darkness War","Armageddon Lost",99
"Darko Dorado","African Egg",130
"Darling Breaking","Citizen Shrek",165
"Darn Forrester","Control Anthem",185
"Darn Forrester","Chicago North",185
"Daughter Madigan","Commandments Express",59
"Dawn Pond","Cranes Reservoir",57
"Dawn Pond","Alter Victory",57
"Day Unfaithful","Banger Pinocchio",113
"Day Unfaithful","Attacks Hate",113
"Day Unfaithful","Amadeus Holy",113
"Dazed Punk","Command Darling",120
"Dazed Punk","Calendar Gunfight",120
"Deceiver Betrayed","Confused Candles",122
"Deceiver Betrayed","Chicken Hellfighters",122
"Deceiver Betrayed","Betrayed Rear",122
"Deceiver Betrayed","Beach Heartbreakers",122
"Deep Crusade","Champion Flatliners",51
"Deer Virginian","Dalmations Sweden",106
"Deer Virginian","Bed Highball",106
"Deliverance Mulholland","Bilko Anonymous",100
"Deliverance Mulholland","Behavior Runaway",100
"Desert Poseidon","Craft Outfield",64
"Desire Alien","Comforts Rush",76
"Desire Alien","Boondock Ballroom",76
"Desperate Trainspotting","Clash Freddy",81
"Destination Jerk","Desire Alien",76
"Destination Jerk","Comforts Rush",76
"Destination Jerk","Boondock Ballroom",76
"Destiny Saturday","Cupboard Sinners",56
"Destiny Saturday","Bride Intrigue",56
"Detective Vision","Crooked Frogmen",143
"Detective Vision","Clockwork Paradise",143
"Detective Vision","Cincinatti Whisperer",143
"Devil Desire","Congeniality Quest",87
"Devil Desire","Cheaper Clyde",87
"Devil Desire","Bang Kwai",87
"Diary Panic","Chitty Lock",107
"Dinosaur Secretary","Bunch Minds",63
"Dinosaur Secretary","Boulevard Mob",63
"Dinosaur Secretary","Borrowers Bedazzled",63
"Dinosaur Secretary","Bonnie Holocaust",63
"Dinosaur Secretary","Aladdin Calendar",63
"Dirty Ace","Arachnophobia Rollercoaster",147
"Disturbing Scarface","Alice Fantasia",94
"Divide Monster","Ark Ridgemont",68
"Divine Resurrection","Deliverance Mulholland",100
"Divine Resurrection","Bilko Anonymous",100
"Divine Resurrection","Behavior Runaway",100
"Doctor Grail","Dawn Pond",57
"Doctor Grail","Cranes Reservoir",57
"Doctor Grail","Alter Victory",57
"Dogma Family","Deceiver Betrayed",122
"Dogma Family","Confused Candles",122
"Dogma Family","Chicken Hellfighters",122
"Dogma Family","Betrayed Rear",122
"Dogma Family","Beach Heartbreakers",122
"Dolls Rage","Dazed Punk",120
"Dolls Rage","Command Darling",120
"Dolls Rage","Calendar Gunfight",120
"Donnie Alley","Bull Shawshank",125
"Doom Dancing","Divide Monster",68
"Doom Dancing","Ark Ridgemont",68
"Dorado Notting","Creatures Shakespeare",139
"Dorado Notting","Clyde Theory",139
"Downhill Enough","Divorce Shining",47
"Dozen Lion","Double Wrath",177
"Dracula Crystal","Cyclone Family",176
"Dracula Crystal","Caper Motions",176
"Dracula Crystal","Braveheart Human",176
"Dragon Squad","Atlantis Cause",170
"Dragon Squad","Artist Coldblooded",170
"Dragonfly Strangers","Curtain Videotape",133
"Dragonfly Strangers","Bucket Brotherhood",133
"Dream Pickup","Candles Grapes",135
"Drifter Commandments","Chinatown Gladiator",61
"Drifter Commandments","Cassidy Wyoming",61
"Drifter Commandments","Camelot Vacation",61
"Drifter Commandments","Bulworth Commandments",61
"Drifter Commandments","Birds Perdition",61
"Driving Polish","Beauty Grease",175
"Drumline Cyclone","Celebrity Horn",110
"Dude Blindness","Chocolate Duck",132
"Dumbo Lust","Bugsy Song",119
"Dumbo Lust","Apocalypse Flamingos",119
"Durham Panky","Doubtfire Labyrinth",154
"Dwarfs Alter","Cider Desire",101
"Dwarfs Alter","Chocolat Harry",101
"Dynamite Tarzan","Disciple Mother",141
"Early Home","Drums Dynamite",96
"Earring Instinct","Bound Cheaper",98
"Earth Vision","Casablanca Super",85
"Earth Vision","Canyon Stock",85
"Earth Vision","Blackout Private",85
"Earth Vision","Beverly Outlaw",85
"Earth Vision","Amistad Midsummer",85
"Easy Gladiator","Blanket Beverly",148
"Easy Gladiator","Army Flintstones",148
"Edge Kissing","Crossroads Casualties",153
"Edge Kissing","Baby Hall",153
"Edge Kissing","Apollo Teen",153
"Effect Gladiator","Diary Panic",107
"Effect Gladiator","Chitty Lock",107
"Egg Igby","Comancheros Enemy",67
"Egg Igby","Butch Panther",67
"Egypt Tenenbaums","Earth Vision",85
"Egypt Tenenbaums","Casablanca Super",85
"Egypt Tenenbaums","Canyon Stock",85
"Egypt Tenenbaums","Blackout Private",85
"Egypt Tenenbaums","Beverly Outlaw",85
"Egypt Tenenbaums","Amistad Midsummer",85
"Element Freddy","Connection Microcosmos",115
"Elephant Trojan","Alamo Videotape",126
"Elizabeth Shane","Center Dinosaur",152
"Empire Malkovich","Dozen Lion",177
"Empire Malkovich","Double Wrath",177
"Encino Elf","Detective Vision",143
"Encino Elf","Crooked Frogmen",143
"Encino Elf","Clockwork Paradise",143
"Encino Elf","Cincinatti Whisperer",143
"Encounters Curtain","Core Suit",92
"Encounters Curtain","Caribbean Liberty",92
"Encounters Curtain","Apache Divine",92
"Encounters Curtain","Anaconda Confessions",92
"Ending Crowds","Egypt Tenenbaums",85
"Ending Crowds","Earth Vision",85
"Ending Crowds","Casablanca Super",85
"Ending Crowds","Canyon Stock",85
"Ending Crowds","Blackout Private",85
"Ending Crowds","Beverly Outlaw",85
"Ending Crowds","Amistad Midsummer",85
"Enemy Odds","Berets Agent",77
"English Bulworth","Deep Crusade",51
"English Bulworth","Champion Flatliners",51
"Entrapment Satisfaction","Dracula Crystal",176
"Entrapment Satisfaction","Cyclone Family",176
"Entrapment Satisfaction","Caper Motions",176
"Entrapment Satisfaction","Braveheart Human",176
"Escape Metropolis","Campus Remember",167
"Eve Resurrection","Charade Duffel",66
"Everyone Craft","Casper Dragonfly",163
"Everyone Craft","Bird Independence",163
"Excitement Eve","English Bulworth",51
"Excitement Eve","Deep Crusade",51
"Excitement Eve","Champion Flatliners",51
"Exorcist Sting","Escape Metropolis",167
"Exorcist Sting","Campus Remember",167
"Express Lonely","Drop Waterfront",178
"Extraordinary Conquerer","Dogma Family",122
"Extraordinary Conquerer","Deceiver Betrayed",122
"Extraordinary Conquerer","Confused Candles",122
"Extraordinary Conquerer","Chicken Hellfighters",122
"Extraordinary Conquerer","Betrayed Rear",122
"Extraordinary Conquerer","Beach Heartbreakers",122
"Eyes Driving","Creepers Kane",172
"Eyes Driving","Connecticut Tramp",172
"Factory Dragon","Dancing Fever",144
"Falcon Volume","Boiled Dares",102
"Family Sweet","Elf Murder",155
"Fantasy Troopers","Dances None",58
"Fantasy Troopers","Closer Bang",58
"Fargo Gandhi","Darko Dorado",130
"Fargo Gandhi","African Egg",130
"Fatal Haunted","Anthem Luke",91
"Feathers Metal","Crow Grease",104
"Feathers Metal","Date Speed",104
"Fellowship Autumn","Enemy Odds",77
"Fellowship Autumn","Berets Agent",77
"Ferris Mother","Chill Luck",142
"Ferris Mother","Bikini Borrowers",142
"Feud Frogmen","Earring Instinct",98
"Feud Frogmen","Bound Cheaper",98
"Fever Empire","Enough Raging",158
"Fiction Christmas","Bowfinger Gables",72
"Fiddler Lost","California Birds",75
"Fiddler Lost","Balloon Homeward",75
"Fidelity Devil","Backlash Undefeated",118
"Fight Jawbreaker","Fatal Haunted",91
"Fight Jawbreaker","Anthem Luke",91
"Fire Wolves","Conquerer Nuts",173
"Fire Wolves","Ballroom Mockingbird",173
"Fireball Philadelphia","Easy Gladiator",148
"Fireball Philadelphia","Blanket Beverly",148
"Fireball Philadelphia","Army Flintstones",148
"Firehouse Vietnam","Blindness Gun",103
"Firehouse Vietnam","Birdcage Casper",103
"Fish Opus","Donnie Alley",125
"Fish Opus","Bull Shawshank",125
"Flash Wars","Breakfast Goldfinger",123
"Flatliners Killer","Divine Resurrection",100
"Flatliners Killer","Deliverance Mulholland",100
"Flatliners Killer","Bilko Anonymous",100
"Flatliners Killer","Behavior Runaway",100
"Flight Lies","Cause Date",179
"Flight Lies","Born Spinal",179
"Flight Lies","Casualties Encino",179
"Flight Lies","Anonymous Human",179
"Flintstones Happiness","Fireball Philadelphia",148
"Flintstones Happiness","Easy Gladiator",148
"Flintstones Happiness","Blanket Beverly",148
"Flintstones Happiness","Army Flintstones",148
"Flying Hook","Cruelty Unforgiven",69
"Fool Mockingbird","Fever Empire",158
"Fool Mockingbird","Enough Raging",158
"Forever Candidate","Fantasia Park",131
"Forrest Sons","Dinosaur Secretary",63
"Forrest Sons","Bunch Minds",63
"Forrest Sons","Boulevard Mob",63
"Forrest Sons","Borrowers Bedazzled",63
"Forrest Sons","Bonnie Holocaust",63
"Forrest Sons","Aladdin Calendar",63
"Forrester Comancheros","Crusade Honey",112
"Forrester Comancheros","Crowds Telemark",112
"Forrester Comancheros","Conversation Downhill",112
"Forrester Comancheros","Coneheads Smoochy",112
"Forrester Comancheros","Cat Coneheads",112
"Forward Temple","Circus Youth",90
"Forward Temple","Basic Easy",90
"Frankenstein Stranger","Driver Annie",159
"Freaky Pocus","Elephant Trojan",126
"Freaky Pocus","Alamo Videotape",126
"Freddy Storm","Confessions Maguire",65
"Freddy Storm","Club Graffiti",65
"Freddy Storm","Barbarella Streetcar",65
"Freedom Cleopatra","Dragonfly Strangers",133
"Freedom Cleopatra","Curtain Videotape",133
"Freedom Cleopatra","Bucket Brotherhood",133
"French Holiday","Darkness War",99
"French Holiday","Armageddon Lost",99
"Frida Slipper","Brotherhood Blanket",73
"Frida Slipper","Bedazzled Married",73
"Frida Slipper","Bright Encounters",73
"Frisco Forrest","Excitement Eve",51
"Frisco Forrest","English Bulworth",51
"Frisco Forrest","Deep Crusade",51
"Frisco Forrest","Champion Flatliners",51
"Frontier Cabin","Catch Amistad",183
"Frost Head","Anything Savannah",82
"Frost Head","Alone Trip",82
"Fugitive Maguire","Attraction Newton",83
"Full Flatliners","Disturbing Scarface",94
"Full Flatliners","Alice Fantasia",94
"Fury Murder","Express Lonely",178
"Fury Murder","Drop Waterfront",178
"Gables Metropolis","Daddy Pittsburgh",161
"Gables Metropolis","Brooklyn Desert",161
"Games Bowfinger","Dumbo Lust",119
"Games Bowfinger","Bugsy Song",119
"Games Bowfinger","Apocalypse Flamingos",119
"Gandhi Kwai","Annie Identity",86
"Gandhi Kwai","Academy Dinosaur",86
"Gangs Pride","Darn Forrester",185
"Gangs Pride","Control Anthem",185
"Gangs Pride","Chicago North",185
"Garden Island","Flamingos Connecticut",80
"Gaslight Crusade","Deer Virginian",106
"Gaslight Crusade","Dalmations Sweden",106
"Gaslight Crusade","Bed Highball",106
"Gathering Calendar","Entrapment Satisfaction",176
"Gathering Calendar","Dracula Crystal",176
"Gathering Calendar","Cyclone Family",176
"Gathering Calendar","Caper Motions",176
"Gathering Calendar","Braveheart Human",176
"Gentlemen Stage","Fish Opus",125
"Gentlemen Stage","Donnie Alley",125
"Gentlemen Stage","Bull Shawshank",125
"Ghost Groundhog","Ending Crowds",85
"Ghost Groundhog","Egypt Tenenbaums",85
"Ghost Groundhog","Earth Vision",85
"Ghost Groundhog","Casablanca Super",85
"Ghost Groundhog","Canyon Stock",85
"Ghost Groundhog","Blackout Private",85
"Ghost Groundhog","Beverly Outlaw",85
"Ghost Groundhog","Amistad Midsummer",85
"Ghostbusters Elf","Dwarfs Alter",101
"Ghostbusters Elf","Cider Desire",101
"Ghostbusters Elf","Chocolat Harry",101
"Giant Troopers","Falcon Volume",102
"Giant Troopers","Boiled Dares",102
"Gilbert Pelican","Chasing Fight",114
"Gilbert Pelican","Chainsaw Uptown",114
"Gilbert Pelican","Carrie Bunch",114
"Gilbert Pelican","Blade Polish",114
"Gilbert Pelican","Alabama Devil",114
"Gilmore Boiled","Everyone Craft",163
"Gilmore Boiled","Casper Dragonfly",163
"Gilmore Boiled","Bird Independence",163
"Gladiator Westward","Fire Wolves",173
"Gladiator Westward","Conquerer Nuts",173
"Gladiator Westward","Ballroom Mockingbird",173
"Glass Dying","Firehouse Vietnam",103
"Glass Dying","Blindness Gun",103
"Glass Dying","Birdcage Casper",103
"Gleaming Jawbreaker","Dares Pluto",89
"Gleaming Jawbreaker","Butterfly Chocolat",89
"Gleaming Jawbreaker","Beast Hunchback",89
"Glory Tracy","Element Freddy",115
"Glory Tracy","Connection Microcosmos",115
"Go Purple","Airport Pollock",54
"Godfather Diary","Frida Slipper",73
"Godfather Diary","Brotherhood Blanket",73
"Godfather Diary","Bedazzled Married",73
"Godfather Diary","Bright Encounters",73
"Gold River","Durham Panky",154
"Gold River","Doubtfire Labyrinth",154
"Goldfinger Sensibility","Bill Others",93
"Goldmine Tycoon","Edge Kissing",153
"Goldmine Tycoon","Crossroads Casualties",153
"Goldmine Tycoon","Baby Hall",153
"Goldmine Tycoon","Apollo Teen",153
"Gone Trouble","Daisy Menagerie",84
"Goodfellas Salute","Destiny Saturday",56
"Goodfellas Salute","Cupboard Sinners",56
"Goodfellas Salute","Bride Intrigue",56
"Gorgeous Bingo","Autumn Crow",108
"Gosford Donnie","Barefoot Manchurian",129
"Gosford Donnie","American Circus",129
"Graceland Dynamite","Eagles Panky",140
"Graduate Lord","Finding Anaconda",156
"Graffiti Love","Affair Prejudice",117
"Graffiti Love","Chamber Italian",117
"Grail Frankenstein","Ghost Groundhog",85
"Grail Frankenstein","Ending Crowds",85
"Grail Frankenstein","Egypt Tenenbaums",85
"Grail Frankenstein","Earth Vision",85
"Grail Frankenstein","Casablanca Super",85
"Grail Frankenstein","Canyon Stock",85
"Grail Frankenstein","Blackout Private",85
"Grail Frankenstein","Beverly Outlaw",85
"Grail Frankenstein","Amistad Midsummer",85
"Grapes Fury","Family Sweet",155
"Grapes Fury","Elf Murder",155
"Grease Youth","Dream Pickup",135
"Grease Youth","Candles Grapes",135
"Greatest North","Goldfinger Sensibility",93
"Greatest North","Bill Others",93
"Greedy Roots","Contact Anonymous",166
"Greek Everyone","Gathering Calendar",176
"Greek Everyone","Entrapment Satisfaction",176
"Greek Everyone","Dracula Crystal",176
"Greek Everyone","Cyclone Family",176
"Greek Everyone","Caper Motions",176
"Greek Everyone","Braveheart Human",176
"Grinch Massage","Cleopatra Devil",150
"Grinch Massage","Christmas Moonshine",150
"Grinch Massage","Bingo Talented",150
"Grinch Massage","Ali Forever",150
"Grit Clockwork","Arsenic Independence",137
"Groove Fiction","Frogmen Breaking",111
"Groundhog Uncut","Dorado Notting",139
"Groundhog Uncut","Creatures Shakespeare",139
"Groundhog Uncut","Clyde Theory",139
"Gump Date","Cabin Flash",53
"Gump Date","Beneath Rush",53
"Gun Bonnie","Flatliners Killer",100
"Gun Bonnie","Divine Resurrection",100
"Gun Bonnie","Deliverance Mulholland",100
"Gun Bonnie","Bilko Anonymous",100
"Gun Bonnie","Behavior Runaway",100
"Gunfight Moon","Coldblooded Darling",70
"Gunfight Moon","Clue Grail",70
"Gunfight Moon","Chance Resurrection",70
"Gunfight Moon","Candidate Perdition",70
"Gunfighter Mussolini","Argonauts Town",127
"Guys Falcon","Gone Trouble",84
"Guys Falcon","Daisy Menagerie",84
"Half Outfield","Cowboy Doom",146
"Half Outfield","Chaplin License",146
"Hall Cassidy","Frisco Forrest",51
"Hall Cassidy","Excitement Eve",51
"Hall Cassidy","English Bulworth",51
"Hall Cassidy","Deep Crusade",51
"Hall Cassidy","Champion Flatliners",51
"Halloween Nuts","Downhill Enough",47
"Halloween Nuts","Divorce Shining",47
"Hamlet Wisdom","Half Outfield",146
"Hamlet Wisdom","Cowboy Doom",146
"Hamlet Wisdom","Chaplin License",146
"Identity Lover","Games Bowfinger",119
"Identity Lover","Dumbo Lust",119
"Identity Lover","Bugsy Song",119
"Identity Lover","Apocalypse Flamingos",119
"Handicap Boondock","Gorgeous Bingo",108
"Handicap Boondock","Autumn Crow",108
"Hanging Deep","Arabia Dogma",62
"Hanging Deep","Airplane Sierra",62
"Hanky October","Effect Gladiator",107
"Hanky October","Diary Panic",107
"Hanky October","Chitty Lock",107
"Hanover Galaxy","Halloween Nuts",47
"Hanover Galaxy","Downhill Enough",47
"Hanover Galaxy","Divorce Shining",47
"Happiness United","Gun Bonnie",100
"Happiness United","Flatliners Killer",100
"Happiness United","Divine Resurrection",100
"Happiness United","Deliverance Mulholland",100
"Happiness United","Bilko Anonymous",100
"Happiness United","Behavior Runaway",100
"Hardly Robbers","Fiction Christmas",72
"Hardly Robbers","Bowfinger Gables",72
"Harold French","Dying Maker",168
"Harold French","Antitrust Tomatoes",168
"Harper Dying","Caddyshack Jedi",52
"Harry Idaho","Dangerous Uptown",121
"Harry Idaho","Brannigan Sunrise",121
"Harry Idaho","Boogie Amelie",121
"Harry Idaho","Arizona Bang",121
"Hate Handicap","Hanky October",107
"Hate Handicap","Effect Gladiator",107
"Hate Handicap","Diary Panic",107
"Hate Handicap","Chitty Lock",107
"Haunted Antitrust","Destination Jerk",76
"Haunted Antitrust","Desire Alien",76
"Haunted Antitrust","Comforts Rush",76
"Haunted Antitrust","Boondock Ballroom",76
"Haunting Pianist","Analyze Hoosiers",181
"Hawk Chill","Hanover Galaxy",47
"Hawk Chill","Halloween Nuts",47
"Hawk Chill","Downhill Enough",47
"Hawk Chill","Divorce Shining",47
"Head Stranger","Flying Hook",69
"Head Stranger","Cruelty Unforgiven",69
"Heartbreakers Bright","Daughter Madigan",59
"Heartbreakers Bright","Commandments Express",59
"Heaven Freedom","Ace Goldfinger",48
"Heavenly Gun","Doors President",49
"Heavenly Gun","Grosse Wonderful",49
"Heavyweights Beast","Giant Troopers",102
"Heavyweights Beast","Falcon Volume",102
"Heavyweights Beast","Boiled Dares",102
"Hedwig Alter","Breaking Home",169
"Hedwig Alter","Agent Truman",169
"Hellfighters Sierra","Fiddler Lost",75
"Hellfighters Sierra","California Birds",75
"Hellfighters Sierra","Balloon Homeward",75
"High Encino","Guys Falcon",84
"High Encino","Gone Trouble",84
"High Encino","Daisy Menagerie",84
"Highball Potter","Drumline Cyclone",110
"Highball Potter","Celebrity Horn",110
"Hills Neighbors","Greatest North",93
"Hills Neighbors","Goldfinger Sensibility",93
"Hills Neighbors","Bill Others",93
"Hocus Frida","Dynamite Tarzan",141
"Hocus Frida","Disciple Mother",141
"Holes Brannigan","Galaxy Sweethearts",128
"Hollow Jeopardy","Crazy Home",136
"Hollow Jeopardy","Bringing Hysterical",136
"Hollow Jeopardy","Alaska Phantom",136
"Hollywood Anonymous","Head Stranger",69
"Hollywood Anonymous","Flying Hook",69
"Hollywood Anonymous","Cruelty Unforgiven",69
"Holocaust Highball","Color Philadelphia",149
"Holy Tadpole","Details Packer",88
"Home Pity","Gangs Pride",185
"Home Pity","Darn Forrester",185
"Home Pity","Control Anthem",185
"Home Pity","Chicago North",185
"Homeward Cider","Glass Dying",103
"Homeward Cider","Firehouse Vietnam",103
"Homeward Cider","Blindness Gun",103
"Homeward Cider","Birdcage Casper",103
"Homicide Peach","Hocus Frida",141
"Homicide Peach","Dynamite Tarzan",141
"Homicide Peach","Disciple Mother",141
"Honey Ties","High Encino",84
"Honey Ties","Guys Falcon",84
"Honey Ties","Gone Trouble",84
"Honey Ties","Daisy Menagerie",84
"Hook Chariots","Heavenly Gun",49
"Hook Chariots","Doors President",49
"Hook Chariots","Grosse Wonderful",49
"Idols Snatchers","Honey Ties",84
"Idols Snatchers","High Encino",84
"Idols Snatchers","Guys Falcon",84
"Idols Snatchers","Gone Trouble",84
"Idols Snatchers","Daisy Menagerie",84
"Hoosiers Birdcage","Greek Everyone",176
"Hoosiers Birdcage","Gathering Calendar",176
"Hoosiers Birdcage","Entrapment Satisfaction",176
"Hoosiers Birdcage","Dracula Crystal",176
"Hoosiers Birdcage","Cyclone Family",176
"Hoosiers Birdcage","Caper Motions",176
"Hoosiers Birdcage","Braveheart Human",176
"Hope Tootsie","Groundhog Uncut",139
"Hope Tootsie","Dorado Notting",139
"Hope Tootsie","Creatures Shakespeare",139
"Hope Tootsie","Clyde Theory",139
"Horn Working","Clueless Bucket",95
"Horror Reign","Hope Tootsie",139
"Horror Reign","Groundhog Uncut",139
"Horror Reign","Dorado Notting",139
"Horror Reign","Creatures Shakespeare",139
"Horror Reign","Clyde Theory",139
"Hotel Happiness","Haunting Pianist",181
"Hotel Happiness","Analyze Hoosiers",181
"Hours Rage","Extraordinary Conquerer",122
"Hours Rage","Dogma Family",122
"Hours Rage","Deceiver Betrayed",122
"Hours Rage","Confused Candles",122
"Hours Rage","Chicken Hellfighters",122
"Hours Rage","Betrayed Rear",122
"Hours Rage","Beach Heartbreakers",122
"House Dynamite","Coma Head",109
"Human Graffiti","Doom Dancing",68
"Human Graffiti","Divide Monster",68
"Human Graffiti","Ark Ridgemont",68
"Hunchback Impossible","Carol Texas",151
"Hunchback Impossible","Beethoven Exorcist",151
"Hunter Alter","Gentlemen Stage",125
"Hunter Alter","Fish Opus",125
"Hunter Alter","Donnie Alley",125
"Hunter Alter","Bull Shawshank",125
"Hunting Musketeers","Freddy Storm",65
"Hunting Musketeers","Confessions Maguire",65
"Hunting Musketeers","Club Graffiti",65
"Hunting Musketeers","Barbarella Streetcar",65
"Hurricane Affair","Hook Chariots",49
"Hurricane Affair","Heavenly Gun",49
"Hurricane Affair","Doors President",49
"Hurricane Affair","Grosse Wonderful",49
"Hustler Party","Fugitive Maguire",83
"Hustler Party","Attraction Newton",83
"Hyde Doctor","Happiness United",100
"Hyde Doctor","Gun Bonnie",100
