"title","rental_rate"
"Dinosaur Secretary",2.99
"Dirty Ace",2.99
"Disciple Mother",0.99
"Disturbing Scarface",2.99
"Divide Monster",2.99
"Divine Resurrection",2.99
"Divorce Shining",2.99
"Doctor Grail",2.99
"Dolls Rage",2.99
"Donnie Alley",0.99
"Doom Dancing",0.99
"Double Wrath",0.99
"Downhill Enough",0.99
"Dracula Crystal",0.99
"Dragon Squad",0.99
"Dream Pickup",2.99
"Driver Annie",2.99
"Drumline Cyclone",0.99
"Drums Dynamite",0.99
"Duck Racer",2.99
"Duffel Apocalypse",0.99
"Dumbo Lust",0.99
"Dwarfs Alter",2.99
"Dynamite Tarzan",0.99
"Earring Instinct",0.99
"Earth Vision",0.99
"Effect Gladiator",0.99
"Egg Igby",2.99
"Egypt Tenenbaums",0.99
"Empire Malkovich",0.99
"Encino Elf",0.99
"Encounters Curtain",0.99
"Ending Crowds",0.99
"English Bulworth",0.99
"Enough Raging",2.99
"Entrapment Satisfaction",0.99
"Escape Metropolis",2.99
"Everyone Craft",0.99
"Evolution Alter",0.99
"Excitement Eve",0.99
"Exorcist Sting",2.99
"Expendable Stallion",0.99
"Express Lonely",2.99
"Extraordinary Conquerer",2.99
"Eyes Driving",2.99
"Factory Dragon",0.99
"Family Sweet",0.99
"Fantasia Park",2.99
"Fantasy Troopers",0.99
"Fargo Gandhi",2.99
"Fatal Haunted",2.99
"Feathers Metal",0.99
"Ferris Mother",2.99
"Feud Frogmen",0.99
"Fiction Christmas",0.99
"Fight Jawbreaker",0.99
"Finding Anaconda",0.99
"Fireball Philadelphia",0.99
"Firehouse Vietnam",0.99
"Fish Opus",2.99
"Flatliners Killer",2.99
"Floats Garden",2.99
"Flying Hook",2.99
"Forever Candidate",2.99
"Forrest Sons",2.99
"Forward Temple",2.99
"Frankenstein Stranger",0.99
"Freaky Pocus",2.99
"Freedom Cleopatra",0.99
"Frida Slipper",2.99
"Frogmen Breaking",0.99
"Frost Head",0.99
"Full Flatliners",2.99
"Fury Murder",0.99
"Gables Metropolis",0.99
"Gandhi Kwai",0.99
"Gangs Pride",2.99
"Gaslight Crusade",2.99
"Gathering Calendar",0.99
"Gentlemen Stage",2.99
"Ghostbusters Elf",0.99
"Giant Troopers",2.99
"Gilbert Pelican",0.99
"Gilmore Boiled",0.99
"Glass Dying",0.99
"Gleaming Jawbreaker",2.99
"Glory Tracy",2.99
"Go Purple",0.99
"Godfather Diary",2.99
"Goldfinger Sensibility",0.99
"Goldmine Tycoon",0.99
"Gone Trouble",2.99
"Gorgeous Bingo",2.99
"Graduate Lord",2.99
"Graffiti Love",0.99
"Grail Frankenstein",2.99
"Grapes Fury",0.99
"Grease Youth",0.99
"Greatest North",2.99
"Greedy Roots",0.99
"Greek Everyone",2.99
"Grit Clockwork",0.99
"Groove Fiction",0.99
"Gun Bonnie",0.99
"Gunfight Moon",0.99
"Gunfighter Mussolini",2.99
"Half Outfield",2.99
"Halloween Nuts",2.99
"Hamlet Wisdom",2.99
"Identity Lover",2.99
"Handicap Boondock",0.99
"Hanky October",2.99
"Happiness United",2.99
"Hardly Robbers",2.99
"Harold French",0.99
"Harper Dying",0.99
"Hate Handicap",0.99
"Haunting Pianist",0.99
"Hawk Chill",0.99
"Heaven Freedom",2.99
"Hedwig Alter",2.99
"Hellfighters Sierra",2.99
"High Encino",2.99
"Highball Potter",0.99
"Hills Neighbors",0.99
"Hobbit Alien",0.99
"Hocus Frida",2.99
"Hollywood Anonymous",0.99
"Holocaust Highball",0.99
"Holy Tadpole",0.99
"Homeward Cider",0.99
"Homicide Peach",2.99
"Honey Ties",0.99
"Hook Chariots",0.99
"Idols Snatchers",2.99
"Hoosiers Birdcage",2.99
"Hope Tootsie",2.99
"Horn Working",2.99
"Horror Reign",0.99
"Hours Rage",0.99
"House Dynamite",2.99
"Human Graffiti",2.99
"Hunger Roof",0.99
"Hunter Alter",2.99
"Hunting Musketeers",2.99
"Hurricane Affair",2.99
"Hyde Doctor",2.99
"Ice Crossing",2.99
"Idaho Love",2.99
"Illusion Amelie",0.99
"Image Princess",2.99
"Impact Aladdin",0.99
"Independence Hotel",0.99
"Indian Love",0.99
"Insects Stone",0.99
"Insider Arizona",2.99
"Instinct Airport",2.99
"Intentions Empire",2.99
"Intrigue Worst",0.99
"Invasion Cyclone",2.99
"Island Exorcist",2.99
"Jacket Frisco",2.99
"Jade Bunch",2.99
"Japanese Run",0.99
"Jason Trap",2.99
"Jawbreaker Brooklyn",0.99
"Jaws Harry",2.99
"Jedi Beneath",0.99
"Jeepers Wedding",2.99
"Jekyll Frogmen",2.99
"Jeopardy Encino",0.99
"Jericho Mulan",2.99
"Jerk Paycheck",2.99
"Joon Northwest",0.99
"Juggler Hardly",0.99
"Jumanji Blade",2.99
"Jumping Wrath",0.99
"Jungle Closer",0.99
"Kane Exorcist",0.99
"Karate Moon",0.99
"Kentuckian Giant",2.99
"Kick Savannah",0.99
"Kill Brotherhood",0.99
"Killer Innocent",2.99
"Knock Warlock",2.99
"Kramer Chocolate",2.99
"Kwai Homeward",0.99
"Labyrinth League",2.99
"Rush Goodfellas",0.99
"Ladybugs Armageddon",0.99
"Language Cowboy",0.99
"Lawrence Love",0.99
"Leathernecks Dwarfs",2.99
"Lebowski Soldiers",2.99
"Legend Jedi",0.99
"Lesson Cleopatra",0.99
"Liberty Magnificent",2.99
"License Weekend",2.99
"Life Twisted",2.99
"Lights Deer",0.99
"Mars Roman",0.99
"Lion Uncut",0.99
"Loathing Legally",0.99
"Lock Rear",2.99
"Lolita World",2.99
"Lonely Elephant",2.99
"Lord Arizona",2.99
"Lose Inch",0.99
"Lost Bird",2.99
"Louisiana Harry",0.99
"Love Suicides",0.99
"Lovely Jingle",2.99
"Lover Truman",2.99
"Loverboy Attacks",0.99
"Luck Opus",2.99
"Lucky Flying",2.99
"Luke Mummy",2.99
"Mask Peach",2.99
"Lust Lock",2.99
"Madison Trap",2.99
"Madness Attacks",0.99
"Madre Gables",2.99
"Magic Mallrats",0.99
"Magnificent Chitty",2.99
"Magnolia Forrester",0.99
"Maguire Apache",2.99
"Majestic Floats",0.99
"Maker Gables",0.99
"Malkovich Pet",2.99
"Mallrats United",0.99
"Manchurian Curtain",2.99
"Mannequin Worst",2.99
"Married Go",2.99
"Masked Bubble",0.99
"Massage Image",2.99
"Maude Mod",0.99
"Meet Chocolate",2.99
"Menagerie Rushmore",2.99
"Metal Armageddon",2.99
"Metropolis Coma",2.99
"Microcosmos Paradise",2.99
"Midnight Westward",0.99
"Mighty Luck",2.99
"Mile Mulan",0.99
"Minority Kiss",0.99
"Miracle Virtual",2.99
"Mixed Doors",2.99
"Mob Duffel",0.99
"Mockingbird Hollywood",0.99
"Modern Dorado",0.99
"Money Harold",2.99
"Monster Spartacus",2.99
"Monterey Labyrinth",0.99
"Montezuma Command",0.99
"Moon Bunch",0.99
"Mosquito Armageddon",0.99
"Mother Oleander",0.99
"Motions Details",0.99
"Moulin Wake",0.99
"Mourning Purple",0.99
"Mulan Moon",0.99
"Mulholland Beast",2.99
"Mummy Creatures",0.99
"Murder Antitrust",2.99
"Muscle Bright",2.99
"Music Boondock",0.99
"Mussolini Spoilers",2.99
"Mystic Truman",0.99
"Nash Chocolat",2.99
"National Story",2.99
"Natural Stock",0.99
"Necklace Outbreak",0.99
"Neighbors Charade",0.99
"Nemo Campus",2.99
"Network Peak",2.99
"Newsies Story",0.99
"Newton Labyrinth",0.99
"None Spiking",0.99
"Noon Papi",2.99
"Northwest Polish",2.99
"Notorious Reunion",0.99
"Notting Speakeasy",0.99
"Novocaine Flight",0.99
"Odds Boogie",0.99
"Oklahoma Jumanji",0.99
"Oleander Clue",0.99
"Operation Operation",2.99
"Orange Grapes",0.99
"Order Betrayed",2.99
"Orient Closer",2.99
"Oscar Gold",2.99
"Others Soup",2.99
"Outbreak Divine",0.99
"Outfield Massacre",0.99
"Oz Liaisons",2.99
"Pacific Amistad",0.99
"Packer Madigan",0.99
"Pajama Jawbreaker",0.99
"Papi Necklace",0.99
"Paradise Sabrina",2.99
"Paris Weekend",2.99
"Party Knock",2.99
"Patient Sister",0.99
"Patriot Roman",2.99
"Patton Interview",2.99
"Peach Innocent",2.99
"Pearl Destiny",2.99
"Perfect Groove",2.99
"Personal Ladybugs",0.99
"Pet Haunting",0.99
"Phantom Glory",2.99
"Pianist Outfield",0.99
"Pickup Driving",2.99
"Pilot Hoosiers",2.99
"Pirates Roxanne",0.99
"Pizza Jumanji",2.99
"Pocus Pulp",0.99
"Polish Brooklyn",0.99
"Pollock Deliverance",2.99
"Pond Seattle",2.99
"Potluck Mixed",2.99
"Potter Connecticut",2.99
"Pride Alamo",0.99
"Primary Glass",0.99
"Princess Giant",2.99
"Prix Undefeated",2.99
"Psycho Shrunk",2.99
"Pulp Beverly",2.99
"Pure Runner",2.99
"Purple Movie",2.99
"Quest Mussolini",2.99
"Racer Egg",2.99
"Raiders Antitrust",0.99
"Random Go",2.99
"Reap Unfaithful",2.99
"Rear Trading",0.99
"Rebel Airport",0.99
"Redemption Comforts",2.99
"Reef Salute",0.99
"Reign Gentlemen",2.99
"Remember Diary",2.99
"Reservoir Adaptation",2.99
"Resurrection Silverado",0.99
"Reunion Witches",0.99
"Rider Caddyshack",2.99
"Ridgemont Submarine",0.99
"Rings Heartbreakers",0.99
"River Outlaw",0.99
"Robbers Joon",2.99
"Robbery Bright",0.99
"Rock Instinct",0.99
"Rocketeer Mother",0.99
"Rollercoaster Bringing",2.99
"Roman Punk",0.99
"Roof Champion",0.99
"Room Roman",0.99
"Roots Remember",0.99
"Rouge Squad",0.99
"Roxanne Rebel",0.99
"Rugrats Shakespeare",0.99
"Run Pacific",0.99
"Runaway Tenenbaums",0.99
"Runner Madigan",0.99
"Rushmore Mermaid",2.99
"Saddle Antitrust",2.99
"Sagebrush Clueless",2.99
"Saints Bride",2.99
"Salute Apollo",2.99
"Samurai Lion",2.99
"Santa Paris",2.99
"Sassy Packer",0.99
"Savannah Town",0.99
"Scissorhands Slums",2.99
"Ship Wonderland",2.99
"Sea Virgin",2.99
"Seabiscuit Punk",2.99
"Searchers Wait",2.99
"Shakespeare Saddle",2.99
"Shane Darkness",2.99
"Shanghai Tycoon",2.99
"Shepherd Midsummer",0.99
"Shining Roses",0.99
"Shock Cabin",2.99
"Shootist Superfly",0.99
"Shrek License",2.99
"Shrunk Divine",2.99
"Side Ark",0.99
"Siege Madre",0.99
"Sierra Divide",0.99
"Silence Kane",0.99
"Simon North",0.99
"Sinners Atlantis",2.99
"Sky Miracle",2.99
"Sleepy Japanese",2.99
"Sleuth Orient",0.99
"Sling Luke",0.99
"Slipper Fidelity",0.99
"Slums Duck",0.99
"Smile Earring",2.99
"Smoking Barbarella",0.99
"Smoochy Control",0.99
"Snatchers Montezuma",2.99
"Snowman Rollercoaster",0.99
"Song Hedwig",0.99
"Sons Interview",2.99
"Sorority Queen",0.99
"Soup Wisdom",0.99
"South Wait",2.99
"Speakeasy Date",2.99
"Spiking Element",2.99
"Spinal Rocky",2.99
"Spirit Flintstones",0.99
"Spirited Casualties",0.99
"Splash Gump",0.99
"Splendor Patton",0.99
"Spoilers Hellfighters",0.99
"Spy Mile",2.99
"Squad Fish",2.99
"Stage World",2.99
"Stallion Sundance",0.99
"Stampede Disturbing",0.99
"Star Operation",2.99
"State Wasteland",2.99
"Stock Glass",2.99
"Stone Fire",0.99
"Storm Happiness",0.99
"Story Side",0.99
"Straight Hours",0.99
"Strangelove Desire",0.99
"Tights Dawn",0.99
"Streak Ridgemont",0.99
"Strictly Scarface",2.99
"Summer Scarface",0.99
"Sun Confessions",0.99
"Sundance Invasion",0.99
"Sunset Racer",0.99
"Superfly Trip",0.99
"Suspects Quills",2.99
"Swarm Gold",0.99
"Timberland Sky",0.99
"Sweet Brotherhood",2.99
"Sweethearts Suspects",0.99
"Tadpole Park",2.99
"Talented Homicide",0.99
"Tarzan Videotape",2.99
"Taxi Kick",0.99
"Telemark Heartbreakers",2.99
"Tenenbaums Command",0.99
"Texas Watch",0.99
"Theory Mermaid",0.99
"Tomatoes Hellfighters",0.99
"Tomorrow Hustler",2.99
"Tootsie Pilot",0.99
"Towers Hurricane",0.99
"Town Ark",2.99
"Tracy Cider",0.99
"Tramp Others",0.99
"Translation Summer",0.99
"Treasure Command",0.99
"Treatment Jekyll",0.99
"Trojan Tomorrow",2.99
"Troopers Metal",0.99
"Trouble Date",2.99
"Turn Star",2.99
"Tuxedo Mile",2.99
"Unbreakable Karate",0.99
"Uncut Suicides",2.99
"Unfaithful Kill",2.99
"Unforgiven Zoolander",0.99
"United Pilot",0.99
"Untouchables Sunrise",2.99
"Uprising Uptown",2.99
"Uptown Young",2.99
"Vacation Boondock",2.99
"Valentine Vanishing",0.99
"Valley Packer",0.99
"Vanished Garden",0.99
"Vanishing Rocky",2.99
"Varsity Trip",2.99
"Vertigo Northwest",2.99
"Victory Academy",0.99
"Vietnam Smoochy",0.99
"Virginian Pluto",0.99
"Vision Torque",0.99
"Voice Peach",0.99
"Volcano Texas",0.99
"Voyage Legally",0.99
"Wagon Jaws",2.99
"Wait Cider",0.99
"Wardrobe Phantom",2.99
"Warlock Werewolf",2.99
"Wars Pluto",2.99
"Wasteland Divine",2.99
"Watch Tracy",0.99
"Watership Frontier",0.99
"Wedding Apollo",0.99
"Weekend Personal",2.99
"Westward Seabiscuit",0.99
"Wild Apollo",0.99
"Willow Tracy",2.99
"Wind Phantom",0.99
"Window Side",2.99
"Wisdom Worker",0.99
"Wolves Desire",0.99
"Women Dorado",0.99
"Won Dares",2.99
"Wonderful Drop",2.99
"Wonka Sea",2.99
"Words Hunter",2.99
"Worker Tarzan",2.99
"World Leathernecks",0.99
"Worst Banger",2.99
"Wrath Mile",0.99
"Wrong Behavior",2.99
"Young Language",0.99
"Youth Kick",0.99
"Zhivago Core",0.99
"Zoolander Fiction",2.99
